<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,1,20180914,120000,1081.8200000,1082.3800000,1081.8000000,1082.3100000,495572
RTSI,1,20180914,120100,1082.3100000,1082.3100000,1081.7100000,1081.7200000,1758110
RTSI,1,20180914,120200,1081.7100000,1081.8000000,1081.4700000,1081.4800000,1868856
RTSI,1,20180914,120300,1081.4600000,1081.5300000,1080.8000000,1080.8500000,3518762
RTSI,1,20180914,120400,1080.8500000,1081.5800000,1080.8500000,1081.5500000,2165474
RTSI,1,20180914,120500,1081.5800000,1081.5800000,1081.3800000,1081.4100000,1449341
RTSI,1,20180914,120600,1081.4500000,1081.4500000,1081.0100000,1081.3200000,1765272
RTSI,1,20180914,120700,1081.2900000,1081.3900000,1081.1600000,1081.3500000,692565
RTSI,1,20180914,120800,1081.3300000,1081.5900000,1081.3300000,1081.5600000,1851946
RTSI,1,20180914,120900,1081.5800000,1081.7500000,1081.4300000,1081.5700000,856780
RTSI,1,20180914,121000,1081.5100000,1081.7400000,1081.4000000,1081.5300000,281415
RTSI,1,20180914,121100,1081.6000000,1081.6000000,1081.3400000,1081.4600000,904393
RTSI,1,20180914,121200,1081.4700000,1081.7500000,1081.4700000,1081.7300000,943389
RTSI,1,20180914,121300,1081.7600000,1081.8400000,1081.4700000,1081.7700000,1055538
RTSI,1,20180914,121400,1081.7700000,1082.5300000,1081.7700000,1082.5300000,2073042
RTSI,1,20180914,121500,1082.5300000,1083.1000000,1082.4300000,1083.0200000,2640750
RTSI,1,20180914,121600,1083.0700000,1083.0700000,1082.4600000,1082.8700000,1550243
RTSI,1,20180914,121700,1082.8700000,1083.0000000,1082.7500000,1082.7500000,395539
RTSI,1,20180914,121800,1082.7400000,1082.8800000,1082.2100000,1082.2900000,1095781
RTSI,1,20180914,121900,1082.2900000,1082.6200000,1082.2600000,1082.5500000,246891
RTSI,1,20180914,122000,1082.5800000,1083.0000000,1082.5600000,1083.0000000,527628
RTSI,1,20180914,122100,1082.9800000,1083.2000000,1082.8300000,1082.8400000,490647
RTSI,1,20180914,122200,1082.8800000,1082.9700000,1082.7700000,1082.8500000,570336
RTSI,1,20180914,122300,1082.8600000,1082.9300000,1082.7100000,1082.9200000,325396
RTSI,1,20180914,122400,1082.9700000,1083.1600000,1082.9300000,1082.9600000,570242
RTSI,1,20180914,122500,1083.0000000,1083.0000000,1082.5100000,1082.5100000,681400
RTSI,1,20180914,122600,1082.5200000,1082.8500000,1082.4300000,1082.8200000,337289
RTSI,1,20180914,122700,1082.8900000,1083.1900000,1082.8900000,1083.1700000,415301
RTSI,1,20180914,122800,1083.1600000,1083.1600000,1082.8300000,1083.0200000,381190
RTSI,1,20180914,122900,1083.0200000,1083.2000000,1083.0100000,1083.0900000,368900
RTSI,1,20180914,123000,1083.0900000,1083.0900000,1082.6800000,1082.6800000,419840
RTSI,1,20180914,123100,1082.6500000,1083.1900000,1082.5300000,1083.1700000,1012147
RTSI,1,20180914,123200,1083.1900000,1084.0800000,1083.1900000,1084.0800000,999211
RTSI,1,20180914,123300,1084.0400000,1084.0800000,1083.6600000,1083.6600000,460609
RTSI,1,20180914,123400,1083.6600000,1083.7500000,1083.4700000,1083.5500000,357915
RTSI,1,20180914,123500,1083.5500000,1084.0700000,1083.4800000,1083.8000000,2113315
RTSI,1,20180914,123600,1083.7700000,1084.0300000,1083.7500000,1083.9400000,1148277
RTSI,1,20180914,123700,1084.0000000,1084.0500000,1083.4000000,1083.4000000,986197
RTSI,1,20180914,123800,1083.3900000,1083.6200000,1083.3200000,1083.6200000,505983
RTSI,1,20180914,123900,1083.6300000,1084.1500000,1083.5800000,1084.1300000,875578
RTSI,1,20180914,124000,1084.1100000,1084.9000000,1084.0600000,1084.9000000,1582178
RTSI,1,20180914,124100,1084.9700000,1085.0000000,1084.7100000,1084.8800000,627918
RTSI,1,20180914,124200,1084.9000000,1084.9400000,1084.7800000,1084.9200000,444876
RTSI,1,20180914,124300,1084.9500000,1084.9500000,1084.6800000,1084.7100000,610714
RTSI,1,20180914,124400,1084.7100000,1084.8100000,1084.5100000,1084.5500000,1193752
RTSI,1,20180914,124500,1084.5200000,1084.6100000,1084.2800000,1084.6100000,261416
RTSI,1,20180914,124600,1084.6200000,1085.0100000,1084.6200000,1084.9600000,420482
RTSI,1,20180914,124700,1085.0400000,1085.7100000,1084.9600000,1085.7100000,1330377
RTSI,1,20180914,124800,1085.7200000,1086.9600000,1085.7200000,1086.9400000,2036298
RTSI,1,20180914,124900,1086.9200000,1087.5800000,1086.8900000,1087.4600000,2215791
RTSI,1,20180914,125000,1087.4600000,1087.4600000,1086.9900000,1086.9900000,863991
RTSI,1,20180914,125100,1087.0500000,1087.0700000,1086.5900000,1086.5900000,1514726
RTSI,1,20180914,125200,1086.5900000,1086.6400000,1086.4000000,1086.4800000,746922
RTSI,1,20180914,125300,1086.4700000,1086.7300000,1086.4700000,1086.5900000,714213
RTSI,1,20180914,125400,1086.5900000,1086.6100000,1086.3500000,1086.4000000,239885
RTSI,1,20180914,125500,1086.3900000,1086.7900000,1086.3900000,1086.7800000,264081
RTSI,1,20180914,125600,1086.8000000,1086.9800000,1086.7100000,1086.9800000,496531
RTSI,1,20180914,125700,1086.9800000,1087.2000000,1086.7700000,1086.7700000,1694875
RTSI,1,20180914,125800,1086.7900000,1086.8700000,1085.6500000,1085.6600000,1348828
RTSI,1,20180914,125900,1085.7300000,1085.7800000,1084.8500000,1084.8700000,1653517
RTSI,1,20180914,130000,1084.9100000,1085.2900000,1084.8700000,1085.1000000,1185435
RTSI,1,20180914,130100,1085.1600000,1085.1700000,1084.0700000,1084.0700000,748599
RTSI,1,20180914,130200,1083.6900000,1083.7700000,1083.3300000,1083.7300000,863719
RTSI,1,20180914,130300,1083.7900000,1084.1100000,1083.6300000,1083.9100000,980777
RTSI,1,20180914,130400,1083.9000000,1083.9600000,1083.6500000,1083.7400000,435743
RTSI,1,20180914,130500,1083.7400000,1083.9300000,1083.7400000,1083.9100000,472831
